Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"Constitució d’un Consell Estatal de l’Habitatge, amb representació política i social ampla, amb funcions d’observatori de l’evolució del sector i d’organisme consultiu i de proposta.",504,-1,-1,constituceír dun consell estatal lhabitatge amb representaceír político i social amplir amb funcions dobservatori levoluceír sector i dorganisme consultiu i proposta
"que incremente en forma acompasada su capacidad de recaudación, reconociendo la desigualdad y determinando consecuentemente que corresponde que el 1 por ciento más rico haga la contribución principal;",503,1,-1,incremente forma acompasado capacidad recaudación reconocer desigualdad determinar consecuentemente corresponder ciento rico hacer contribución principal
"Esto permitió reducir la tasa de deforestación, no sólo revirtiendo la pérdida sino incrementando la cobertura forestal en términos netos.",416.2,0,-1,permitir reducir tasa deforestación no sólo revertir pérdida sino incrementar cobertura forestal término neto
"Redefinir la política social del país, para que efectivamente contribuya a reducir en números absolutos la pobreza, la marginación y la desigualdad, y que mejore la vida de las familias; bajo criterios de subsidiariedad, garantizando el desarrollo humano.",504,-1,-1,redefinir política social país efectivamente contribuir reducir número absoluto pobrezar marginación desigualdad mejore vida familia bajo criterio subsidiariedad garantizar desarrollo humano
"Gracias a esa renegociación de los contratos petroleros, el 100 % del incremento del precio internacional del petróleo es para todos los ecuatorianos.",413,0,-1,gracias renegociación contrato petrolero incremento precio internacional petróleo ecuatoriano
"Durante el período de transición, el INURBE tendrá las funciones de realizar las convocatorias nacionales y la selección de los municipios.",504,-1,-1,período transición inurbar función realizar convocatoria nacional selección municipio
Definir una estrategia de desarrollo forestal que disminuya la deforestación producida por el corte de árboles para fines energéticos.,416.2,0,-1,definir estrategia desarrollo forestal disminuir deforestación producido corte árbol fin energético
porque entendemos que desde el momento de diag-nóstico del cáncer debe ser tratado con premura para mejorar su pronóstico;,504,-1,-1,entender momento diagnóstico cáncer deber ser tratar premura mejorar pronóstico
"- En intermediación laboral (orientación, formación y empleo) garantizar la presencia de profesionales con dominio de la Lengua de Signos o en su defecto de intérpretes de Lengua de Signos.",504,-1,-1,intermediación laboral orientación formación empleo garantizar presencia profesional dominio lenguir signo defecto intérprete lenguar signo
"Las principales estrategias seran: •  Promover campañas masivas de informacion y prevencion en los medios de comunicacion, para dar a conocer los riesgos que presenta el consumo de drogas ilfcitas.",504,-1,-1,principal estrategia serar promover campaña masivo informacion prevencion medio comunicacion dar conocer riesgo presentar consumo droga ilfcita
"Se debe fortalecer también la función de la Superintendencia de Subsidio Familiar como organismo de control y vigilancia, de tal manera que se otorgue la responsabilidad de garantizar la ejecución de los recursos dentro de los lineamientos del Plan y las normas que regulan el sistema.",504,-1,-1,deber fortalecer función superintendencia subsidio familiar organismo control vigilancia tal manera otorgar responsabilidad garantizar ejecución recurso dentro lineamiento plar normas regular sistema
"b. Detección temprana de los factores de riesgo que inciden en la aparición de enfermedades crónicas en la población adulta y adulta mayor, con énfasis en las neurodegenerativas.",504,-1,-1,b detección temprano factor riesgo incidir aparición enfermedad crónico población adulto adulto mayor énfasis neurodegenerativo
Alcanzar altos grados de integración social permitirá que los procesos acumulativos de desarrollo tengan un marco común y que los esfuerzos compartidos incentiven políticas públicas reconocidas y valoradas transversalmente.,416.2,0,-1,alcanzar alto grado integración social permitir proceso acumulativo desarrollo marco común esfuerzo compartido incentiven política público reconocido valorado transversalmente
"El Desarrollo Sostenible, es un desarrollo que garantiza las necesidades de los habitantes de hoy sin poner en peligro el bienestar de las futuras generaciones.",416.2,0,-1,desarrollo sostenible desarrollo garantizar necesidad habitante hoy poner peligro bienestar futuro generación
"Por eso, nuestra apuesta es promover el desarrollo territorial sostenible,",416.2,0,-1,apostar promover desarrollo territorial sostenible
"Asimismo, conforme a datos del Banco Mundial, Chile es el séptimo país en el planeta en nivel de desigualdad, en que el 20% más rico se lleva un 70% de la riqueza y casi el 50% de toda la recaudación tributaria viene del IVA, impuesto que es esencialmente regresivo.",503,1,-1,asimismo conforme dato banco mundial chile séptimo país planeta nivel desigualdad rico llevar riqueza casi todo recaudación tributario venir iva impuesto esencialmente regresivo
"Se destinarán a este fondo, dentro de los próximos cuatro años, entre US$8 y US$10 mil millones, en total.",504,-1,-1,destinar fondo dentro próximo cuatro año us us mil millón total
"c) un ambiente saludable y equilibrado es una responsabilidad del Estado, no solo del ministerio respectivo; y",416.2,0,-1,c ambiente saludable equilibrado responsabilidad no solo ministerio respectivo
"Eso multiplicará el patrimonio y el crédito, apoyando el emprendimiento popular en esas zonas.",504,-1,-1,multiplicar patrimonio crédito apoyar emprendimiento popular zona
"Promoure iniciatives de comerç just, garantint la transparència de la seva gestió i els seus objectius d’ètica i justícia social.",503,1,-1,promoure iniciativ comer just garantint transparnciar seva gesteír i el seus objectius dtico i justícia social
la gestión tributaria;,413,0,-1,gestión tributario
Establecer una norma común de garantía de tiempos máximos de acceso al Sistema Nacional de Salud.,504,-1,-1,establecer norma común garantía tiempo máximo acceso sistema nacional salud
"Esta población se enfrenta a múltiples barreras, para ejercer su derecho a la autonomía personal y la toma de decisiones, afectando su participación e inclusión social.",503,1,-1,población enfrentar múltiple barrera ejercer derecho autonomía personal tomar decisión afectar participación inclusión social
"d) De no estar ya contemplada tal posibilidad en nuestras leyes vigentes, sugerimos adoptar las medidas legales necesarias para crear una política de tributación progresiva con el fin de redistribuir, a través del gasto público, el ingreso y la riqueza nacional.",503,1,-1,d no contemplado tal posibilidad ley vigente sugerimos adoptar medida legal necesario crear político tributación progresivo fin redistribuir través gasto público ingreso riqueza nacional
"Impulsar la vivienda nacional, Igualmente conseguir líneas de crédito en el exterior para entregar vivienda sin costo a aquellos que viviendo en barrios marginales o periféricos tengan su terreno propio, o que teniendo su vivienda sea de tal rusticidad que amerite su reconstrucción.",504,-1,-1,impulsar vivienda nacional igualmente conseguir línea crédito exterior entregar vivienda costo aquel vivir barrio marginal periférico terreno propio vivienda tal rusticidad amerite reconstrucción
"Además, en dichos intentos no se dieron explicaciones a la sociedad, ni se buscó construir consensos con las principales fuerzas políticas representadas en el Congreso, en torno a las necesidades de infraestructura, regulación, seguridad pública, educación, salud, pensiones y seguridad social que se financiarían con la refor-ma.",408,0,-1,además dicho intento no dar explicación sociedad ni buscar construir consenso principal fuerza política representado congreso torno necesidad infraestructuro regulación seguridad público educación salud pensión seguridad social financiarían reforma
No hay Salud sin Justicia.,504,-1,-1,no salud justicia
"A més, és imprescindible una reforma fiscal profunda que ha de basar-se en garantir recursos suficients per a fer sostenible la despesa pública, redistribuir cap als que menys tenen i eliminar els privilegis d’uns pocs.",503,1,-1,més és imprescindible reforma fiscal profundo basar él garantir recurso suficients per fer sostenible despesar público redistribuir cap als menys tener i eliminar el privilegis duns pocs
"6. Establecimiento de una normativa, clara y transparente para la adquisición de servicios privados únicamente en aquellos casos urgentes médicamente y que no puedan ser brindados por la Caja.",504,-1,-1,establecimiento normativo claro transparente adquisición servicio privado únicamente aquel caso urgente médicamente no poder ser brindado caja
"Mediremos a través de indicadores la contribución del programa a la mejora en el desarrollo cognitivo y el rendimiento escolar,",504,-1,-1,medir través indicador contribución programa mejor desarrollo cognitivo rendimiento escolar
"Se trata, en síntesis, de establecer las bases de una economía altamente competitiva, capaz de obtener una integración adecuada con el exterior y el fin del subdesarrollo.",409,0,-1,tratar síntesis establecer base economía altamente competitivo capaz obtener integración adecuado exterior fin subdesarrollo
• Una excesiva concentración espacial de la actividad.,416.2,0,-1,excesivo concentración espacial actividad
"en especial, para aquellos que ya tienen casa, pero que sus condiciones de vida están afectadas gravemente por el deterioro de sus viviendas y barrios",504,-1,-1,especial aquel casa condiciones vido afectado gravemente deterioro vivienda barrio
De acuerdo con estos valores y principios planteamos nuestras propuestas para la sanidad española en los siguientes ejes:,504,-1,-1,acuerdo valor principio plantear propuesta sanidad español siguiente eje
"Los suscritos, Candidatos a la Presidencia de la República de Panamá para el periodo 2019-2024, conscientes de la responsabilidad social y del respeto a los derechos humanos, en especial de las víctimas del envenenamiento masivo con Dietilenglicol, nos comprometemos que durante el primer semestre de nuestro gobierno, crearemos una Comisión de Alto Nivel con la participación de los representantes de las víctimas, a efecto de analizar, estudiar y explorar alternativas o posibilidades de soluciones de nitivas que tengan el efecto de desistir de las acciones legales interpuestas por las víctimas a través de sus representantes legales”.",503,1,-1,suscrito candidato presidencia repúblico panamá periodo consciente responsabilidad social respeto derechos humanos especial víctima envenenamiento masivo dietilenglicol comprometer primero semestre gobierno crearer comisión alto nivel participación representante víctima efecto analizar estudiar explorar alternativo posibilidad solución nitiva efecto desistir acción legal interpuesto víctima través representante legal
"y evaluar la construcción de otros centros de atención, según necesidades de salud de la población, su densidad y oferta de servicios existentes.",504,-1,-1,evaluar construcción centro atención según necesidad salud población densidad oferto servicio existente
"El Estado puede apoyar este aprendizaje con información, asesoría y capacitación,",504,-1,-1,poder apoyar aprendizaje información asesorío capacitación
"Así, garantizaremos que al menos la mitad de las personas con posibilidad de ser representantes políticas sean mujeres.",503,1,-1,así garantizar menos mitad persona posibilidad ser representante política mujeres
Introducirse en esta problemática constituye un paso trascendente en la reforma del Sector Salud que requiere estudios e inversiones que posibiliten la atención de veinte (20) millones de habitantes que se hallan actualmente en situación de cobertura insuficiente.,504,-1,-1,introducir él problemática constituir paso trascendente reforma sector salud requerir estudio inversión posibilitir atención veinte millón habitante hallar actualmente situación coberturo insuficiente
"Resguardaremos el derecho a la no discriminación en educación, salud, justicia y vivienda de madres, padres, hijos e hijas que provengan de estructuras familiares y de condiciones económicas y culturales distintas.",503,1,-1,resguardarer derecho no discriminación educación salud justicia viviendir madre padr hijo hija provengar estructura familiar condición económico cultural distinto
Supongamos que el 100% de esos fondos llegaran directamente al beneficiario.,503,1,-1,suponer fondo llegar directamente beneficiario
"con especial foco en generar oportunidades para las personas mayores de 18 años, carencia que existe notoriamente en el país y debe ser atendida.",504,-1,-1,especial foco generar oportunidad persona mayor año carencia existir notoriamente país deber ser atender
"Junto a lo anterior, el Estado debe regular y limitar los costos de administración de las AFP, entre otros los asociados a publicidad, de manera de que estos digan relación con los servicios efectivamente prestados.",504,-1,-1,junto anterior deber regular limitar costo administración afp asociado publicidad manera decir relación servicio efectivamente prestado
"Lo realizaremos como una de las principales partes de la estrategia de reducción de la pobreza, para mejorar el nivel de vida rural con la participación de las poblaciones afectadas.",503,1,-1,realizarer principal parte estrategia reducción pobrezar mejorar nivel vida rural participación población afectado
"Más de 257.000 personas dependientes con derecho a una prestación (el 23,5%) se encuentran en lista de espera para percibirla.",504,-1,-1,persona dependiente derecho prestación encontrar listo esperar percibir él
"el segundo, está relacionado con la distribución espacial de la población.",504,-1,-1,segundo relacionado distribución espacial población
"Deberá determinarse la posibilidad de reprivatizar el bien o servicio, o de reestatizar la administración, con la debida compensación, (debe ser negociada dentro de la privatización del bien o servicio).",413,0,-1,deber determinar él posibilidad reprivatizar bien servicio reestatizar administración debido compensación deber ser negociar dentro privatización bien servicio
• Subsector público: base de un sistema integrado de salud.,504,-1,-1,subsector público base sistema integrado salud
Pobladores de Áreas Comarcales y Deprimidas.,504,-1,-1,poblador área comarcal deprimido
"Se requiere promover la participación de las mujeres y hombres, asl como el involucramiento de los mandos superiores de la función pública para realizar cambios graduales. sostenidos en el tiempo y fundados en estrategias concretas y presupuestos sensibles al género.",503,1,-1,requerir promover participación mujer hombr asl involucramiento mando superior función público realizar cambio gradual sostenido tiempo fundar estrategia concreto presupuesto sensible género
Protección del Aire y de la Atmósfera,,0,0,protección aire atmósfero
México ha sido perdedor en los cambios estructurales promovidos por el neoliberalismo desde la década de los ochenta.,701,0,0,méxico ser perdedor cambio estructural promovido neoliberalismo décado ochenta
"La segundad ciudadana requiere una solución integral en varios ámbitos, a la cual deben aportar todos los poderes del Estado,",605.1,-1,0,segundad ciudadano requerir solución integral varios ámbito deber aportar poder
Se acentuó el clientelismo unido a la falta de transparencia en la selección de beneficiarios; el escaso o nulo recupero de la cartera de préstamos; las irregularidades en la situación de dominio de los ocupantes; la preferencia por la vivienda terminada y de alto costo; etc.,304,0,0,acentuar clientelismo unido faltar transparencia selección beneficiario escaso nulo recupero cartera préstamos irregularidad situación dominio ocupante preferencia vivienda terminado alto costo etc
"Aun cuando las personas sean remplazadas, debe prevalecer el cumplimiento de las reglas y acuerdos, es decir, la institucionalidad.",202.1,0,0,aun persona remplazada deber prevalecer cumplimiento regla acuerdo decir institucionalidad
Fomentaremos políticas de disminución de las emisiones y residuos tanto en el ámbito doméstico,501,0,0,fomentaremos política disminución emisión residuo ámbito doméstico
Mejoramiento constante del nivel de vida de la población: d.         Política salarial que permita a los trabajadores atender sus necesidades básicas y acrecentar su patrimonio.,701,0,0,mejoramiento constante nivel vida población d político salarial permitir trabajador atender necesidad básico acrecentar patrimonio
Los países más competitivos de nuestro entorno son precisamente aquellos que han adoptado metas ambientales más ambiciosas.,501,0,0,país competitivo entorno precisamente aquel adoptado meta ambiental ambiciosa
"Convergéncia i Unió modificará el sistema de tributación de los rendimientos forestales para permitir su inclusión sin limitaciones en el sistema de módulos,",703,0,0,convergéncia i unir modificar sistema tributación rendimiento forestal permitir inclusión limitación sistema módulos
8.3 Garantizar los derechos de las personas jóvenes,H,0,0,garantizar derecho persona joven
"Profundizaremos los sistemas de protección del medio ambiente del sector, cuidando los activos naturales y sistemas hídricos,",501,0,0,profundizarer sistema protección medio ambiente sector cuidar activo natural sistema hídrico
"Reforzaremos la lucha contra el tráfico de drogas de manera integrada, acometiendo tanto la persecución de grandes narcotraficantes como la lucha contra el menudeo,",605,0,0,reforzarer lucha tráfico droga manera integrado acometer persecución grande narcotraficant lucha menudeo
"Hay que extender el aprendizaje de la comunicación desde la escuela y rechazar las posibles actitudes recelosas y defensivas contra los medios de comunicación y hacer aflorar el urgente debate en la sociedad para que sean los ciudadanos /as y sólo ellos, los que decidan sobre cuál es el modelo de comunicación que desean para sí y para sus hijos.",502,0,0,extender aprendizaje comunicación escuela rechazar posible actitud receloso defensivo medio comunicación hacer aflorar urgente debate sociedad ciudadano as sólo decidan cuál modelo comunicación desear hijo
"Difundiremos permanentemente por todos los medios, los nombres y las fotografías de los delincuentes más buscados y los teléfonos nacionales de denuncia ciudadana.",605,0,0,difundiremos permanentemente medio nombr fotografía delincuent buscado teléfono nacional denuncia ciudadano
1.2.3.Alfabetización digital para que nadie se quede fuera,H,0,0,alfabetización digital nadie quedar
"Promover el uso inteligente de las nuevas tecnologías de información y conocimiento para fortalecer la eficiencia, transparencia y la institucionalidad.",303,0,0,promover uso inteligente nuevo tecnología información conocimiento fortalecer eficiencia transparencia institucionalidad
"de nuestros hombres y de nuestras mujeres,",416,0,0,hombre mujer
El Senado ha dejado de ser útil a la ciudadanía por la incompetencia y el mal uso que han hecho de él aquellos que lo defienden.,303,0,0,senado dejar ser útil ciudadanía incompetencia mal uso hecho aquel defender
"Política de alianzas para el cumplimiento de objetivos nacionales. La propuesta del Partido del Trabajo está encaminada a configurar acuerdos nacionales con otros partidos y fuerzas políticas y con los más amplios sectores de la sociedad para que juntos cambiemos la correlación de fuerzas, y así podamos establecer un Proyecto Nacional democrático y con equidad económica y social.",606,0,0,político alianza cumplimiento objetivo nacional propuesta partido trabajo encaminado configurar acuerdo nacional partido fuerza política amplio sector sociedad junto cambier correlación fuerza así poder establecer proyecto nacional democrático equidad económico social
— Drets de les persones refugiades (rebutjada).,201.2,1,0,dret persón refugiad rebutjado
"De ahí que el propósito de este texto sea clarificar la relación entre derechos humanos y civiles, a la luz de las necesidades más urgentes de la población LGBT en Chile,",201.2,1,0,ahí propósito texto clarificar relación derechos humanos civil luz necesidad urgente población lgbt chile
"Estimularemos a ciudadanos y organismos de la sociedad civil a colaborar en la identificación, análisis, determinación y priorización de problemas públicos, así como a construir soluciones más efectivas que respondan a las necesidades y aspiraciones ciudadanas.",303,0,0,estimularemos ciudadano organismo sociedad civil colaborar identificación análisis determinación priorización problema público así construir solución efectivo responder necesidad aspiración ciudadano
"Para responder a las necesidades del alumnado con dificultades generalizadas de aprendizaje, se potenciarán los refuerzos educativos, la atención personalizada y otras medidas que favorezcan la superación de dichas dificultades y su progreso en el aprendizaje.",506,0,0,responder necesidad alumnado dificultad generalizado aprendizaje potenciar refuerzo educativo atención personalizado medida favorecer superación dicho dificultad progreso aprendizaje
"6. Establecimiento de pago de servicios agroambientales,",703.1,0,0,establecimiento pago servicio agroambiental
Transferència de la competència en matèria de propietat intel·lectual a les comunitats autónomes.,301,0,0,transferncia competncia matrio propietat intellectual comunitats autónom
−  Negociarem la modificació de la Llei del Sector Ferroviari i la de la Llei d’Ordenació dels Transports Terrestres perquè la Generalitat pugui gestionar completament el Pla de Rodalies i escollir els operadors ferroviaris dels serveis de Rodalies i Regionals de Catalunya,301,0,0,negociarem modificaceír llei sector ferroviari i llei dordenaceír dels transports terrestre perqu generalitat pugui gestionar completament pla rodali i escollir el operadors ferroviari dels serveis rodali i regionals catalunya
10. Cultura del envejecimiento,H,0,0,cultura envejecimiento
La Argentina ocupó un lugar entre las diez primeras naciones del mundo hasta la segunda guerra mundial.,601.1,0,0,argentino ocupar lugar diez primero nación mundo segundo guerra mundial
1. Motivación,H,0,0,motivación
"La Constitución Política del Estado aprobada en enero del 2009, mediante el Referéndum Constituyente, sirvió para sellar los acuerdos logrados por el MAS, PODEMOS, MNR y Unidad Nacional en el Congreso Nacional al margen de la Asamblea Constituyente, que no aprobó ningún documento de consenso.",204,0,0,constitución político aprobado enero mediante referéndum constituyente servir sellar acuerdo logrado mas poder mnr unidad nacional congreso nacional margen asamblea constituyente no aprobar ninguno documento consenso
EJECUTAR LAS REFORMAS INSTITUCIONALES QUE QUEDAN PENDIENTES PARA QUE UN ESTADO EFICIENTE RECUPERE SU LEGITIMIDAD FRENTE A LOS CIUDADANOS,303,0,0,ejecutar reforma institucional quedar pendiente eficiente recuperar legitimidad frente ciudadano
"Hoy, consideramos el estudio de algunas cuestiones:",,0,0,hoy considerar estudio cuestión
"467. Impulsar la participación activa de la sociedad en programas de ahorro de energía, así como priorizar las energías renovables para el abastecimiento de electricidad con una perspectiva de protección del clima y medio ambiente.",501,0,0,impulsar participación activo sociedad programa ahorro energía así priorizar energía renovable abastecimiento electricidad perspectivo protección clima medio ambiente
De forma más específica tenemos los siguientes datos sobre emisión:,501,0,0,forma específico siguiente dato emisión
"Se estima que el programa incrementara nuestra capacidad de exportar a más de 10 nuevos destinos, incluyendo a Estados Unidos y la Unión Europea, una vez se cumpla con las condiciones que el programa presenta.",703.1,0,0,estimar programa incrementara capacidad exportar nuevo destino incluir unido unión europeo vez cumplir condiciones programa presentar
El trabajo es primordial para el ser humano.,701,0,0,trabajo primordial ser humano
Aprobar una Ley que regule la apatridia configurando un marco general de esta figura.,201.2,1,0,aprobar ley regule apatridio configurar marco general figurar
"En deﬁnitiva planteamos un nuevo marco constitucional que permita consolidar los derechos sociales,",204,0,0,denitiva plantear nuevo marco constitucional permitir consolidar derecho social
Principio de la calidad y de la excelencia,,0,0,principio calidad excelencio
Emprendimos la reestructuración más ambiciosa del Estado y la Función Ejecutiva y continuaremos haciéndolo.,303,0,0,emprendimos reestructuración ambicioso función ejecutivo continuaremos haciéndolo
d) Protección del Medio Ambiente,H,0,0,d protección medio ambiente
"que regule la utilización de sus recursos de forma sostenible,",501,0,0,regule utilización recurso formar sostenible
Implementación de acciones que conduzcan a disminuir en forma significativa los costos económicos de los trámites de regularización para las personas migrantes.,602.2,0,0,implementación acción conduzcar disminuir forma significativo costo económico trámite regularización persona migrant
"además del derecho de  las  generaciones  futuras  a  disfrutar  de  un  patrimonio  ambiental  y  cultural  en  condiciones  sostenibles,",501,0,0,además derecho generación futuro disfrutar patrimonio ambiental cultural condición sostenible
Ampliar y mejorar el sistema de Cercanías (Rodalies) de la región metropolitana de Barcelona,H,0,0,ampliar mejorar sistema cercanía rodali región metropolitano barcelona
"el Túria,",501,0,0,túrio
"La generación de estrategias tendientes a modificar las percepciones ciudadanas sobre la Administración, referidas a su ineficacia e ineficiencia, arbitrariedad, corrupción, falta de continuidad, clientelismo, despilfarro y mal uso de los servicios públicos.",303,0,0,generación estrategias tendient modificar percepción ciudadano administración referido ineficacia ineficiencio arbitrariedad corrupción faltar continuidad clientelismo despilfarrir mal uso servicio público
"Por otra parte, persiste la falta de armonización de los procesos productivos y el mundo del trabajo con la vida familiar y las condiciones de las mujeres.",706,0,0,parte persistir falta armonización proceso productivo mundo trabajo vida familiar condición mujer
Vamos a seguir creando una República Dominicana para todos y todas.,305.1,0,0,ir seguir crear república dominicano todo
